Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
367 Coach Ridge Rise SW,684900,Coach Hill,SW,T3H,AB,House/Town,3,2.5,1751,391,$500K-750K,3,Maxwell Capital Realty
20 Seton Park SE #316,294888,Seton,SE,T3M,AB,Condo/Apt,2,1.0,588,502,< $300K,2,Royal Lepage Solutions
3712 58 Ave SW,629900,Lakeview,SW,T3E,AB,House/Town,4,2.0,1086,580,$500K-750K,4,RE/MAX Real Estate (Central)
49 Elgin Gardens SE,398000,Mosaic Of Elgin Hill,SE,T2Z,AB,House/Town,3,1.5,1165,342,$300K-500K,3,RE/MAX Realty Professionals
41 7 St NE #204,309000,Bridgeland/Riverside,NE,T2E,AB,Condo/Apt,2,2.0,830,372,$300K-500K,2,Legacy Real Estate Services
100 Walgrove Ct SE #5106,435000,Walden,SE,T2X,AB,Condo/Apt,2,2.0,1161,375,$300K-500K,2,Cir Realty
215 Legacy Blvd SE #2414,277000,Legacy,SE,T2X,AB,Condo/Apt,2,1.0,621,446,< $300K,2,Exp Realty
12011 Brae Rd SW,630000,Braeside,SW,T2W,AB,House/Town,4,2.5,1303,483,$500K-750K,4,Royal Lepage Solutions
108 Copperpond Rise SE,499000,Copperfield,SE,T2Z,AB,House/Town,3,2.5,1292,386,$300K-500K,3,Charles
8 Strathearn Rise SW,659900,Strathcona Park,SW,T3H,AB,House/Town,3,3.5,1663,397,$500K-750K,3,Real Broker
155 Skyview Ranch Way NE #1103,199999,Skyview Ranch,NE,T3N,AB,Condo/Apt,1,1.0,569,351,< $300K,1,Exp Realty
4514 Fordham Crescent SE,525000,Forest Heights,SE,T2A,AB,House/Town,4,2.0,1064,493,$500K-750K,4,Plintz Real Estate
928 Coventry Dr NE,589000,Coventry Hills,NE,T3K,AB,House/Town,3,3.5,1417,416,$500K-750K,3,Real Broker
1608 2 St NW,569000,Crescent Heights,NW,T2M,AB,House/Town,4,2.5,1056,539,$500K-750K,4,Cir Realty
1816 27 Ave SW,549900,South CA,SW,T2T,AB,House/Town,2,2.0,630,873,$500K-750K,2,Creekside Realty
35 Saddleland Way NE,949900,Saddle Ridge,NE,T3J,AB,House/Town,6,3.5,2376,400,$750K-1M,5+,Exp Realty
2048 41 Ave SW,750000,Altadore,SW,T2T,AB,House/Town,4,2.0,864,868,$750K-1M,4,Listed by Ryan Jacques
58 Copperstone Villas SE,418000,Copperfield Chalet,SE,T2Z,AB,House/Town,2,2.5,1576,265,$300K-500K,2,RE/MAX Realty Professionals
135 30 Ave NW,664950,Tuxedo Park,NW,T2M,AB,House/Town,4,3.5,1930,345,$500K-750K,4,Cir Realty
36 Arbour Ridge Place NW,649900,Arbour Lake,NW,T3G,AB,House/Town,4,3.5,1536,423,$500K-750K,4,RE/MAX Real Estate (Central)
8505 Broadcast Ave SW #209,599900,West Springs,SW,T3H,AB,Condo/Apt,2,2.5,1001,599,$500K-750K,2,Manor Hill Realty Yyc Inc.
2016 42 Ave SW,925000,Altadore,SW,T2T,AB,House/Town,4,3.5,1837,504,$750K-1M,4,RE/MAX Landan Real Estate
236 31 Ave NE,699000,Tuxedo Park,NE,T2E,AB,House/Town,2,1.0,1017,687,$500K-750K,2,Grand Realty
63 Tarington Rd NE,549000,Taradale,NE,T3J,AB,House/Town,4,3.5,1398,393,$500K-750K,4,RE/MAX House Of Real Estate
215 Rundlecairn Rd NE,464990,Rundle,NE,T1Y,AB,House/Town,3,2.0,950,489,$300K-500K,3,Cir Realty
33 Douglasbank Way SE,629900,Douglasdale/Glen,SE,T2Z,AB,House/Town,3,2.5,2119,297,$500K-750K,3,Listed by Heather Davis
32 Legacy Reach View SE,500000,Legacy,SE,T2X,AB,House/Town,3,2.5,1506,332,$500K-750K,3,RE/MAX Landan Real Estate
124 Saddlecrest Blvd NE,689900,Saddle Ridge,NE,T3J,AB,House/Town,4,2.5,1668,414,$500K-750K,4,Exp Realty
615 6 Ave SE #2302,682500,Downtown East Village,SE,T2G,AB,Condo/Apt,2,2.0,1073,636,$500K-750K,2,Real Broker
2407 32 St SW,999900,Killarney/Glengarry,SW,T3E,AB,House/Town,4,3.5,1933,517,$750K-1M,4,First Place Realty
